OBJECTID,FID_Train_Facilities_Transfer_Buffer_160m,Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,Attr_Length,Breaks_Length,X,Y,BUFF_DIST,ORIG_FID,FID_Bus_Facilities,Name_1,SourceID_1,SourceOID_1,PosAlong_1,SideOfEdge_1,CurbApproach_1,Status_1,Attr_Length_1,Breaks_Length_1,X_1,Y_1
172,178,Location 178,1,1064199,0.137238324455200,2,0,0,0.000000000000000,,324896.011204773,5827796.01021696,160.000000000000000,178,8333,Location 8333,1,1064199,0.326560198521726,2,0,0,0.000000000000000,,324892.489000002,5827769.375
173,161,Location 161,1,1025628,0.478248758267275,2,0,0,0.000000000000000,,337599.982149443,5828837.048523,160.000000000000000,161,8448,Location 8448,1,211384,0.528211912999514,1,0,0,0.000000000000000,,337704.0355,5828726.0362
174,161,Location 161,1,1025628,0.478248758267275,2,0,0,0.000000000000000,,337599.982149443,5828837.048523,160.000000000000000,161,8469,Location 8469,1,1025628,0.821371625739564,1,0,0,0.000000000000000,,337583.3155,5828847.0066
175,136,Location 136,1,1068271,0.283045983416650,2,0,0,0.000000000000000,,318905.005922373,5829249.97678596,160.000000000000000,136,8500,Location 8500,1,1068267,0.657889270397665,2,0,0,0.000000000000000,,318883.987200002,5829216.9916
176,177,Location 177,1,1030858,0.710666801787230,2,0,0,0.000000000000000,,325118.985831494,5829408.97168708,160.000000000000000,177,8525,Location 8525,1,456369,0.468738011387822,1,0,0,0.000000000000000,,325163.6618,5829381.351
177,177,Location 177,1,1030858,0.710666801787230,2,0,0,0.000000000000000,,325118.985831494,5829408.97168708,160.000000000000000,177,8535,Location 8535,1,1030855,0.482666310259167,1,0,0,0.000000000000000,,325088.4858,5829491.4731
178,213,Location 213,1,472491,0.708110452021484,2,0,0,0.000000000000000,,317068.039366256,5829772.94891085,160.000000000000000,213,8553,Location 8553,1,783451,0.254385112009758,2,0,0,0.000000000000000,,317193.496400001,5829686.9618
179,213,Location 213,1,472491,0.708110452021484,2,0,0,0.000000000000000,,317068.039366256,5829772.94891085,160.000000000000000,213,8560,Location 8560,1,783456,0.455524494848833,1,0,0,0.000000000000000,,316970.479600002,5829830.0144
180,213,Location 213,1,472491,0.708110452021484,2,0,0,0.000000000000000,,317068.039366256,5829772.94891085,160.000000000000000,213,8568,Location 8568,1,1066526,0.481583858325773,2,0,0,0.000000000000000,,317112.483200001,5829882.006
181,162,Location 162,1,1027256,0.835979297327518,2,0,0,0.000000000000000,,339618.041318623,5829911.99236453,160.000000000000000,162,8575,Location 8575,1,1027260,0.045250701645905,2,0,0,0.000000000000000,,339689.463700001,5829916.5428
182,176,Location 176,1,873899,0.358148250123112,1,0,0,0.000000000000000,,326228.027628596,5830927.01691193,160.000000000000000,176,8663,Location 8663,1,1059906,0.920463677161471,1,0,0,0.000000000000000,,326298.4419,5830921.2951
183,216,Location 216,1,1068887,0.517212902290318,2,0,0,0.000000000000000,,329476.963070869,5831352.97675562,160.000000000000000,216,8699,Location 8699,1,1068887,0.709970816477724,1,0,0,0.000000000000000,,329508.2805,5831325.3554
184,211,Location 211,1,291210,0.250291285802740,2,0,0,0.000000000000000,,317837.027542877,5832318.02359339,160.000000000000000,211,8778,Location 8778,1,291210,0.620451819750053,2,0,0,0.000000000000000,,317802.9875,5832262.5869
185,2,Location 2,1,1061731,0.722837958017900,2,0,0,0.000000000000000,,298791.96237446,5833121.94533856,160.000000000000000,2,8815,Location 8815,1,1065303,0.571372643825998,2,0,0,0.000000000000000,,298850.4734,5833072.5149
186,220,Location 220,1,1068283,0.381327050835497,1,0,0,0.000000000000000,,332096.984990234,5834310.94980014,160.000000000000000,220,8873,Location 8873,1,59464,0.064823194446921,2,0,0,0.000000000000000,,332065.009100002,5834251.025
187,220,Location 220,1,1068283,0.381327050835497,1,0,0,0.000000000000000,,332096.984990234,5834310.94980014,160.000000000000000,220,8881,Location 8881,1,857275,0.726649791362568,2,0,0,0.000000000000000,,332164.978299999,5834306.5017
188,220,Location 220,1,1068283,0.381327050835497,1,0,0,0.000000000000000,,332096.984990234,5834310.94980014,160.000000000000000,220,8884,Location 8884,1,59485,0.019933328784032,2,0,0,0.000000000000000,,331954.3316,5834355.9749
189,212,Location 212,1,1066500,0.108732451614040,2,0,0,0.000000000000000,,318446.972608655,5836373.98884689,160.000000000000000,212,8971,Location 8971,1,1066500,0.709648864465107,1,0,0,0.000000000000000,,318436.9862,5836406.9683
190,221,Location 221,1,1078595,0.602017181709883,2,0,0,0.000000000000000,,332359.000917865,5836585.99705874,160.000000000000000,221,8985,Location 8985,1,1078595,0.429663183691114,2,0,0,0.000000000000000,,332388.4979,5836615.2605
191,1,Location 1,1,1064757,0.326937349389012,2,0,0,0.000000000000000,,299316.019388703,5838455.99731389,160.000000000000000,1,9110,Location 9110,1,472479,0.570912889412742,2,0,0,0.000000000000000,,299432.851600001,5838486.4243
