OBJECTID,OBJECTID_MODE,Mode,FacilityID_Mode,X,Y,Target break,8_Total_Pat,9_Bus_patronage,10_PropComm,11_Balance,12_LUEntropy,13_PedConnect,14_PBN,15_Parkiteer,16_ACDist,17_ACCount,18_FTZ,19_Parking,20_PropUrban,21_PropRural,22_EmpAccess,23_C_LOS,24_O_Bus_LOS,25_O_Tram_LOS,26_O_Train_LOS,27_O_LOS,28_MedInc,29_PropOS,30_PropBach,31_LocalAccess_800,32_EmpDen_800,33_ResidentialDen_800,34_censored_PropFTE,35_censored_MeanSize,EmpDen_surrogate,Population_surrogate,DestScore_surrogate
2181,2181-tram,tram,587-tram,326927.472,5813929.985,600,177.5083273,0.6,0.17728519,0.03632315,0.464861611,55,0.319995615,0,0.306691992,1,0,0,3818.748129,0,65421.52455,52.15384615,0.384615385,25.76923077,0,77.92307692,650,0.023597672,0.645607137,1.34,-0.33,0.258577553,0.578755757,2.583628782,1186.308986,3818.748129,5
2184,2184-tram,tram,588-tram,327040.98,5813992.043,600,88.75416363,0.6,0.153187156,0.034798668,0.451972063,54,0.319666511,0,0.436014989,1,0,0,3989.136273,0,65366.72712,25.76923077,0.384615385,78.53846154,0,104.3076923,650,0.02298979,0.64483291,1.33,-0.34,0.290579849,0.579690273,2.568903775,1186.308831,3989.136273,5
2198,2198-tram,tram,596-tram,315202.0253,5814157.015,600,414.2555604,3158.3,0.741605306,0.109719521,0.369388278,147,0.039519339,0,0.198528953,1,0,0.001988665,3629.894204,0,334319.0995,39,350.8461538,39.07692308,0,78.07692308,300,0.042238678,0.536145343,3.12,0.111,-0.751877355,0.533269293,2.592123706,2811.236725,3629.894204,7
260,260-tram,tram,605-tram,315202.4794,5814303.465,600,828.5111208,3158.3,0.700444651,0.095681524,0.418703347,162,0.161974663,0,0.118182915,1,0,0,4227.029548,0,439646.0519,39.07692308,326.3076923,78.07692308,0,117.1538462,300,0.040661529,0.543279098,3.09,0.0836,-0.600219099,0.537442551,2.579116703,2836.094308,4227.029548,7
250,250-tram,tram,599-tram,320192.5285,5814183.958,600,6688.721647,40,0.593968857,0.084881984,0.503923789,157,0.37265593,0,0.830613988,0,0,0,10977.97657,0,456342.215,143.1538462,15.84615385,60.69230769,0,203.8461538,1,0.041686262,0.667155542,0.037,0.337,6.917178151,0.48854298,2.388451217,11208.78326,10977.97657,7
249,249-tram,tram,597-tram,320723.4627,5814144.478,600,5201.988061,53.9,0.727575221,0.078905806,0.461008829,155,0.319998974,0,0.347727364,1,0,0,13531.08377,0,457399.8238,386.8461538,24.07692308,0,0,386.8461538,1,0.035900819,0.679845427,-0.365,0.742,7.267866023,0.48854298,2.266779076,12760.65043,13531.08377,7
258,258-tram,tram,604-tram,315091.9704,5814314.97,600,414.2555604,61,0.653967053,0.092112138,0.451482619,184,0.272989048,0,0.00728608,1,0,0,4398.581493,0,259107.8035,19.38461538,234.4615385,58.76923077,0,78.15384615,300,0.04302358,0.530652589,3.11,0.0418,-0.489868389,0.528195563,2.568680729,2835.755601,4398.581493,7
2216,2216-tram,tram,607-tram,315071.9944,5814361.04,600,36.67970801,61,0.644731644,0.090782084,0.457329843,175,0.294146244,0,0.045496547,1,0,0,4466.585849,0,249599.6338,19.69230769,72.53846154,58.46153846,0,78.15384615,300,0.043734384,0.523267967,3.06,0.0213,-0.411756489,0.523313528,2.565414493,2836.069633,4466.585849,6
268,268-tram,tram,611-tram,319961.5066,5814443.964,600,1209.452529,768.8,0.37965868,0.045861622,0.603769748,177,0.4792672,0,1.050450357,0,0,0,8040.92669,0,448613.9483,124.0769231,81.84615385,0,0,124.0769231,150,0.046633755,0.673618425,1.52,-0.348,3.03308716,0.48854298,2.457814339,6055.640804,8040.92669,6
270,270-tram,tram,612-tram,319186.4984,5814560.967,600,184.2508846,68.6,0.294608698,0.070364265,0.543381751,152,0,0,1.788469672,0,0,0,6631.991937,0,350047.9011,63.15384615,72,0,0,63.15384615,500,0.048285713,0.678834659,1.38,-0.229,1.940642655,0.568687354,2.491830386,4766.375812,6631.991937,7
