OBJECTID,OBJECTID_MODE,Mode_Centroid,FacilityID,FacilityID_Mode,X,Y,Name,Target break,Mode standard,Standard?,Cluster sample?,FromBreak,ToBreak,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,1_Total_Pat,2_Empden,3_Popden,4_Dwell,5_ActDen,6_PropComm,7_RetailEmp,8_Balance,9_LUEntropy,10_HousingDiv,11_PedConnect,12_PBN,13_DestScore,14_DestCount,15_Parkiteer,16_CBDDist,17_ACDist,18_ACCount,19 _FTZ,20_Parking,21_PropUrban,22_EmpAccess,23_C_LOS,24_O_Bus_LOS,25_O_Tram_LOS,26_O_Train_LOS,27_O_LOS,28_PropFTE,29_MeanSize,30_MedInc,31_PropOS,32_PropBach,0.1_Centroid_patronage,0.2_Bus_patronage,0.2_Bus_Censored,ln_Centroid,ln_bus,ln_emp,ln_pop,Co-located_outlier_tracking
243,243-tram,tram,142,142-tram,321474.5016,5808072.495,Location 142 : 0 - 600,600,600,yes,tram,0,600,50,1776,3576.869127,715035.9856,194.4857205,3653.87,5478.68,2483.49,9132.56,0.03,191,0.07,0.55,8,95.1,0.18,4,30,0,4.86,1.46,0,0,0,0.65,186071.12,56.38,16.46,0,0,56.38,0.67,2.21,800,0.04,0.57,194.49,5.9,5.9,5.27,1.77,8.2,8.61,
2203,2203-tram,tram,145,145-tram,327684.0362,5808112.478,Location 145 : 0 - 600,600,600,yes,tram,0,600,50,1794,3912.088762,879418.2098,134.7938113,1705.25,4337.85,1689.7,6043.1,0.04,142.88,0.06,0.3,8,67.09,0.32,7,52,0,8.44,1.13,0,0,0,0.9,121146.34,55,16.77,0,0,55,0.6,2.57,800,0.02,0.66,134.79,21.6,21.6,4.9,3.07,7.44,8.38,
276,276-tram,tram,157,157-tram,322505.4741,5808336.481,Location 157 : 0 - 600,600,600,yes,No,0,600,50,1845,3968.682679,825797.6153,658.9032967,3810.47,8716,3905.54,12526.46,0.24,252.93,0.06,0.71,8,135.63,0.32,4,56,0,4.88,1.38,0,0,0,0.59,397111.11,231.15,16.62,0,0,231.15,0.7,2.23,800,0.07,0.54,658.9,47.4,47.4,6.49,3.86,8.25,9.07,
2228,2228-tram,tram,154,154-tram,321173.517,5808260.006,Location 154 : 0 - 600,600,600,yes,tram,0,600,50,1848,3298.778542,638433.5699,137.7666156,3642.45,5434.53,2480.15,9076.98,0,165.15,0.06,0.37,8,68.92,0.19,2,24,0,4.64,1.79,0,0,0,0.78,188144.57,56.54,16.46,0,0,56.54,0.66,2.19,800,0.04,0.63,137.77,1.5,1.5,4.93,0.41,8.2,8.6,
2223,2223-tram,tram,159,159-tram,321010.0001,5808363.466,Location 159 : 0 - 600,600,600,yes,No,0,600,50,1833,3351.677812,680987.3782,81.04751063,3538.92,4856.8,2175.13,8395.71,0.02,146.06,0.06,0.44,8,66.08,0.17,1,24,0,4.52,1.97,0,0,0,0.76,188144.57,56.69,16.46,0,0,56.69,0.67,2.23,800,0.04,0.65,81.05,0.3,0.4,4.4,-0.92,8.17,8.49,
2225,2225-tram,tram,158,158-tram,325873.0304,5808371.012,Location 158 : 0 - 600,600,600,yes,No,0,600,50,1839,4253.440478,934692.1905,175.4600293,2754.72,4121.92,1778.45,6876.64,0.08,467.15,0.2,0.33,8,123.04,0,6,58,0,6.85,0.9,0,0,0,0.95,318532.93,53.85,17.15,0,163.38,217.23,0.61,2.32,800,0.04,0.65,175.46,22.2,22.2,5.17,3.1,7.92,8.32,
255,255-tram,tram,164,164-tram,325068.4997,5808487.018,Location 164 : 0 - 600,600,600,yes,tram,0,600,50,1803,4344.577006,856444.4032,175.4600293,3126.61,4609.44,2021.88,7736.04,0.07,448.15,0.18,0.43,8,147.12,0,6,62,0,6.18,1.48,0,0,0,0.86,129120.35,53.85,26.77,0,0,53.85,0.66,2.28,800,0.04,0.64,175.46,17.1,17.1,5.17,2.84,8.05,8.44,
2193,2193-tram,tram,168,168-tram,340074.9962,5808553.019,Location 168 : 0 - 600,600,600,yes,No,0,600,50,1779,2585.676941,252238.1921,226.9731917,412.59,2770.22,937.99,3182.81,0.04,68.41,0.05,0.27,5,103.08,0.22,2,20,0,19.83,1.41,0,0,0,0.93,26103.15,49.69,97.31,0,0,49.69,0.56,2.95,300,0.03,0.49,226.97,207.3,207.3,5.42,5.33,6.02,7.93,
2182,2182-tram,tram,171,171-tram,320731.5059,5808550.009,Location 171 : 0 - 600,600,600,yes,tram,0,600,50,1761,3550.160626,707072.8638,81.04751063,3341.58,4172.56,1724.03,7514.14,0.03,121.19,0.06,0.43,8,82.03,0.42,3,25,0,4.33,2.29,0,0,0,0.78,188144.57,56.69,16.46,0,0,56.69,0.65,2.42,800,0.03,0.67,81.05,1.5,1.5,4.4,0.41,8.11,8.34,
2171,2171-tram,tram,174,174-tram,324263.9965,5808604.502,Location 174 : 0 - 600,600,600,yes,No,0,600,50,1743,3907.956417,864924.0944,175.4600293,3513.35,6629.86,2968.43,10143.21,0.09,433.42,0.12,0.35,8,206.95,0,4,45,0,5.55,1,0,0,0,0.9,127227.37,54.23,30,0,0,54.23,0.69,2.23,800,0.04,0.62,175.46,13.7,13.7,5.17,2.62,8.16,8.8,
