,Factor1,Factor2,Factor3
10739-bus,-0.63,-0.09,0.10
4719-bus,2.22,0.51,-2.36
8053-bus,0.58,-0.14,-0.47
5419-bus,-0.30,0.04,-0.30
6427-bus,0.45,0.04,-1.04
10762-bus,-0.83,-0.03,0.01
5818-bus,-0.76,-0.26,0.43
6999-bus,-0.11,-0.25,0.08
6158-bus,-0.51,0.22,-0.78
4472-bus,-0.22,0.16,-1.00
10751-bus,-0.53,-0.01,-0.18
6805-bus,0.98,-0.09,-0.58
7884-bus,0.51,-0.29,0.16
10291-bus,-0.43,-0.01,0.14
7531-bus,0.08,-0.37,0.63
6605-bus,-0.41,0.16,-0.86
10035-bus,0.05,0.00,0.01
6764-bus,-0.49,-0.26,0.39
6305-bus,-0.82,-0.39,0.78
6224-bus,0.15,-0.25,-0.05
8034-bus,-0.95,0.21,0.31
11600-bus,-0.84,-0.16,0.10
6194-bus,0.10,-0.24,-0.05
7618-bus,0.51,-0.36,0.41
4523-bus,-0.22,0.12,-0.65
4817-bus,0.55,0.07,-0.88
4700-bus,0.42,0.36,-1.86
8004-bus,-0.49,0.21,0.09
6027-bus,0.70,0.00,-0.94
4637-bus,-0.82,-0.38,0.62
6349-bus,0.28,-0.05,-0.70
6273-bus,-0.32,-0.11,-0.28
10289-bus,-0.40,-0.02,0.18
9599-bus,0.13,-0.19,-0.03
8006-bus,0.69,-0.10,-0.62
9143-bus,-0.72,0.05,-0.47
10935-bus,-0.60,-0.23,0.55
11439-bus,-1.13,0.18,-0.21
8002-bus,0.65,-0.09,-0.63
5320-bus,-0.64,-0.10,0.36
3879-bus,-0.39,0.22,-0.80
10392-bus,0.50,-0.05,-0.32
7442-bus,0.05,-0.37,0.63
4508-bus,-0.60,-0.14,-0.19
6269-bus,0.14,-0.26,-0.03
11312-bus,-0.21,-0.02,-0.36
4964-bus,-0.22,0.08,-0.34
6036-bus,0.06,-0.21,-0.05
6392-bus,0.08,-0.22,-0.09
10075-bus,0.31,0.04,0.42
4933-bus,-0.19,0.10,-0.38
5668-bus,-0.05,0.50,-1.75
5276-bus,-0.93,-0.12,0.51
9919-bus,0.26,0.03,-0.58
8861-bus,-1.19,-0.24,0.54
6173-bus,0.20,-0.20,-0.21
10341-bus,-0.25,-0.14,-0.12
3894-bus,-0.78,0.27,-0.82
11223-bus,0.12,-0.31,0.24
6887-bus,-0.76,-0.44,1.15
6222-bus,-0.48,-0.16,-0.09
7232-bus,0.03,-0.24,-0.01
7334-bus,-0.37,0.00,-0.06
5177-bus,-0.22,-0.45,0.65
4581-bus,1.05,0.24,-1.08
4868-bus,-0.34,-0.41,0.63
3199-bus,0.73,0.27,-1.92
11496-bus,-1.02,0.53,-1.45
8617-bus,0.13,-0.05,-0.65
5766-bus,-0.37,0.40,-1.28
9940-bus,0.14,-0.12,-0.08
5002-bus,0.33,0.08,-0.54
6499-bus,-0.69,-0.24,0.23
7525-bus,0.02,-0.37,0.65
7051-bus,0.85,-0.12,-0.37
11329-bus,-0.92,0.10,-0.02
6077-bus,-0.44,-0.38,0.63
5314-bus,-0.51,-0.04,0.14
5230-bus,-0.83,-0.05,0.27
8917-bus,-0.26,-0.42,0.85
4556-bus,0.56,0.14,-0.67
6620-bus,-0.11,0.62,-1.94
11318-bus,-0.46,0.03,-0.23
4858-bus,-0.14,-0.48,0.69
10549-bus,0.37,-0.11,-0.20
4982-bus,-0.16,0.09,-0.37
9569-bus,0.86,-0.11,-0.44
4887-bus,-0.09,-0.09,-0.34
6218-bus,-0.81,-0.28,0.50
10774-bus,-0.46,0.17,-0.67
4565-bus,0.82,0.23,-0.92
4899-bus,-0.16,-0.08,-0.32
11055-bus,-0.55,0.46,-1.54
5957-bus,-0.61,-0.32,0.49
6944-bus,0.38,-0.13,-0.24
5323-bus,-0.14,-0.14,0.17
10757-bus,-0.67,0.03,-0.16
6152-bus,-0.47,-0.43,0.81
3167-bus,0.71,0.15,-1.55
7597-bus,0.09,-0.38,0.65
11322-bus,0.08,-0.32,0.27
4587-bus,0.75,0.27,-1.01
6149-bus,0.26,-0.11,-0.47
4541-bus,-0.51,0.05,-0.26
4804-bus,0.58,-0.04,-0.76
7962-bus,0.58,-0.21,-0.11
11804-bus,-0.20,-0.01,0.00
4626-bus,-0.01,-0.06,-0.26
6886-bus,0.28,0.08,-0.26
7888-bus,-0.06,-0.23,0.10
572-train,-0.27,0.01,-0.52
7363-bus,-0.53,-0.29,0.36
9918-bus,0.18,-0.21,0.17
4798-bus,0.64,0.06,-1.06
7973-bus,0.21,-0.25,0.05
6089-bus,-0.32,-0.05,-0.36
8114-bus,0.76,-0.26,-0.18
6488-bus,-0.46,-0.24,0.18
5769-bus,-0.98,-0.21,0.34
11326-bus,-0.70,0.13,-0.24
6712-bus,-0.99,-0.04,0.58
7983-bus,0.78,-0.20,-0.08
7797-bus,0.25,-0.15,-0.27
4679-bus,-0.48,-0.38,0.52
9699-bus,0.63,-0.36,0.40
11641-bus,0.02,0.03,-0.69
10647-bus,-0.44,0.52,-1.73
532-train,0.68,0.22,-1.74
9171-bus,-0.38,-0.19,0.40
11746-bus,-1.00,-0.40,0.81
11646-bus,-0.26,-0.07,-0.30
466-train,-1.24,-0.57,1.55
4733-bus,-0.54,-0.29,0.44
6071-bus,-1.12,-0.40,0.97
11759-bus,-0.94,-0.05,0.15
5102-bus,-0.69,-0.28,0.29
4784-bus,-0.71,0.03,-0.26
10481-bus,0.30,-0.06,-0.29
4682-bus,-0.37,-0.31,0.29
7588-bus,-0.86,-0.18,0.57
5835-bus,-1.05,-0.17,0.22
5817-bus,-1.01,-0.15,0.16
6365-bus,0.90,-0.16,-0.40
6275-bus,0.61,-0.16,-0.34
3570-bus,0.20,-0.12,-0.29
6239-bus,-0.90,-0.48,1.15
6017-bus,0.22,-0.34,0.25
6352-bus,0.15,-0.24,0.07
6015-bus,-0.01,-0.36,0.36
6125-bus,-0.29,-0.40,0.63
4420-bus,0.00,-0.09,-0.06
11424-bus,-1.69,-0.11,0.87
5823-bus,0.77,-0.34,0.27
9572-bus,0.33,-0.21,0.08
4608-bus,-0.03,-0.04,-0.28
5961-bus,0.59,-0.19,-0.38
6260-bus,0.00,-0.17,-0.12
3859-bus,-0.37,0.34,-1.18
3883-bus,-0.79,0.26,-0.76
6092-bus,0.14,-0.15,-0.32
6773-bus,-0.25,-0.34,0.50
6137-bus,0.18,-0.14,-0.34
6449-bus,0.93,-0.20,-0.30
8968-bus,0.32,-0.32,0.44
5922-bus,0.13,-0.32,0.25
8080-bus,0.84,-0.27,-0.18
4691-bus,-0.07,-0.28,0.13
3679-bus,0.31,0.00,-0.70
6784-bus,-0.35,-0.27,0.17
6894-bus,0.30,0.13,-0.39
4877-bus,0.54,-0.02,-0.58
5042-bus,0.06,-0.26,0.12
5772-bus,-1.35,-0.17,0.34
5305-bus,-0.45,0.01,-0.05
6095-bus,0.72,-0.16,-0.50
6029-bus,-0.80,0.04,-0.35
7007-bus,0.79,-0.21,-0.17
11541-bus,-0.98,0.53,-1.47
9002-bus,-0.44,-0.22,0.18
3709-bus,-0.42,-0.01,-0.38
5092-bus,-0.67,-0.11,0.01
11441-bus,0.03,-0.33,0.30
7591-bus,0.09,-0.38,0.65
5033-bus,0.56,0.04,-0.52
5005-bus,0.18,-0.26,0.08
3664-bus,0.54,-0.01,-0.80
7680-bus,-0.20,-0.06,-0.40
8126-bus,0.25,-0.10,-0.44
5050-bus,0.17,-0.17,-0.12
6983-bus,0.58,-0.18,-0.17
3461-bus,-0.34,0.13,-0.47
4917-bus,0.30,0.01,-0.74
10368-bus,-0.60,-0.28,0.59
6926-bus,-0.41,-0.32,0.61
6248-bus,0.73,-0.16,-0.47
6350-bus,-0.19,-0.53,0.99
5741-bus,0.38,-0.17,-0.21
5331-bus,0.19,-0.28,0.07
10720-bus,-0.86,-0.09,0.24
5104-bus,-0.37,-0.18,0.08
5113-bus,0.09,-0.23,-0.03
8180-bus,-0.81,-0.27,0.30
6658-bus,-0.08,0.06,-0.11
6476-bus,0.07,-0.42,0.55
8273-bus,-0.35,0.03,-0.29
7356-bus,-0.14,-0.38,0.75
5000-bus,-0.24,-0.13,0.05
6002-bus,-0.21,0.45,-1.62
8281-bus,-0.34,0.04,-0.36
3479-bus,-0.98,0.15,-0.14
11540-bus,-0.90,-0.36,0.78
8046-bus,-0.71,0.24,0.11
4988-bus,0.28,-0.21,-0.06
10656-bus,-0.83,-0.13,0.21
7627-bus,-0.52,0.06,-0.33
7052-bus,1.04,-0.24,-0.19
6148-bus,-0.44,-0.47,0.90
4577-bus,-0.46,-0.03,-0.06
3739-bus,-0.23,0.02,-0.48
10593-bus,-0.68,-0.26,0.41
8782-bus,-0.62,-0.12,-0.21
5799-bus,1.00,-0.28,0.01
11570-bus,-0.99,0.03,-0.11
3625-bus,1.20,0.06,-1.23
5269-bus,-0.21,0.28,-0.92
3660-bus,0.00,-0.02,-0.54
6157-bus,-0.45,-0.43,0.78
8980-bus,0.09,-0.34,0.67
4405-bus,-0.04,-0.08,-0.14
4222-bus,0.15,0.05,-0.94
11524-bus,0.66,0.12,-1.19
5790-bus,-0.83,-0.06,-0.16
9678-bus,-0.41,0.24,-0.83
6737-bus,0.38,-0.23,-0.05
7478-bus,-0.37,-0.10,0.17
6810-bus,-0.11,-0.25,0.03
10738-bus,-0.71,-0.02,0.00
10709-bus,-0.79,-0.13,0.37
4927-bus,-0.35,-0.14,0.13
8140-bus,0.03,-0.13,-0.22
8233-bus,-0.61,-0.12,0.01
5988-bus,0.03,-0.30,0.42
4171-bus,-2.07,-0.06,0.25
6253-bus,0.15,-0.48,0.68
3576-bus,0.03,-0.13,-0.21
4896-bus,0.15,-0.05,-0.52
5955-bus,-0.11,-0.26,0.37
8320-bus,-0.41,0.00,-0.44
8282-bus,-0.45,-0.03,-0.43
8221-bus,-0.58,-0.10,-0.25
7807-bus,0.46,-0.13,-0.47
10854-bus,0.09,-0.32,0.26
6072-bus,0.09,-0.48,0.74
6740-bus,-0.16,-0.22,0.14
10536-bus,-0.21,0.53,-1.85
9975-bus,0.07,-0.17,0.16
6142-bus,-0.35,-0.38,0.61
4703-bus,0.86,0.12,-1.39
5098-bus,-0.22,-0.24,0.16
9179-bus,0.10,-0.14,-0.29
6167-bus,-0.12,0.10,-0.55
11667-bus,-1.08,-0.13,0.18
7654-bus,-0.43,-0.01,-0.29
7900-bus,0.60,-0.08,-0.63
7937-bus,0.66,-0.08,-0.65
11665-bus,-0.95,-0.08,0.00
6722-bus,0.95,-0.25,-0.18
4975-bus,-0.95,-0.24,0.50
7546-bus,-0.29,0.31,-1.28
6393-bus,-0.62,0.06,-0.54
6960-bus,-0.49,0.29,-1.04
6749-bus,0.17,-0.20,-0.05
4958-bus,-1.27,-0.27,0.77
11006-bus,-0.89,0.33,-1.24
9551-bus,-0.11,0.14,-0.75
4812-bus,0.47,-0.03,-0.15
5090-bus,0.20,-0.21,-0.10
2950-bus,-1.44,0.44,-1.06
11984-bus,-0.49,-0.28,0.49
5708-bus,0.19,0.09,-0.75
11684-bus,-1.22,-0.37,0.94
6956-bus,-0.28,-0.21,0.30
4976-bus,-1.04,-0.27,0.65
6022-bus,-0.12,-0.41,0.60
8152-bus,0.87,-0.26,-0.20
8987-bus,0.04,-0.16,-0.16
10717-bus,-0.65,-0.05,0.07
4354-bus,-0.57,-0.16,0.14
7436-bus,-0.39,-0.12,0.22
4969-bus,-0.17,-0.23,0.18
7031-bus,-1.00,-0.64,1.60
9623-bus,0.42,-0.28,0.03
12172-bus,-0.59,-0.02,-0.32
9612-bus,0.73,-0.23,-0.21
5571-bus,-1.02,0.53,-1.43
5244-bus,-1.08,-0.17,0.36
7978-bus,-0.50,0.04,-0.72
6974-bus,-0.43,-0.34,0.84
3564-bus,-0.92,-0.17,0.30
4876-bus,0.97,-0.03,-0.72
5084-bus,0.03,-0.34,0.28
4333-bus,-1.38,0.15,-0.64
4276-bus,-0.78,0.16,-0.91
4309-bus,-0.73,0.16,-0.95
4270-bus,-0.79,0.13,-0.82
4928-bus,-0.25,-0.24,0.32
11375-bus,-0.70,-0.04,0.27
8808-bus,-0.39,-0.22,0.11
5105-bus,0.07,-0.37,0.32
12362-bus,0.41,-0.15,-0.13
9471-bus,0.49,-0.10,-0.55
11005-bus,-0.31,0.28,-1.32
6170-bus,0.06,-0.08,-0.09
11242-bus,0.36,-0.17,0.00
12340-bus,0.57,-0.21,-0.13
12337-bus,0.60,-0.17,-0.21
12364-bus,0.28,-0.20,0.00
4632-bus,0.67,0.12,-0.84
6962-bus,-0.51,-0.21,0.45
7570-bus,-0.76,-0.19,0.35
10135-bus,0.61,0.16,-0.66
9937-bus,-0.17,-0.17,0.23
3775-bus,-0.66,0.03,-0.25
5907-bus,-0.04,-0.27,0.36
8923-bus,0.04,-0.36,0.61
9479-bus,0.72,-0.18,-0.28
11500-bus,0.04,0.50,-1.34
8872-bus,0.53,-0.35,0.34
11644-bus,0.18,0.19,-1.24
6546-bus,0.06,0.22,-1.25
10641-bus,-0.78,-0.31,0.59
7430-bus,0.25,-0.28,0.36
2918-bus,0.53,-0.09,-0.32
5874-bus,-0.66,-0.48,1.35
8438-bus,-0.34,-0.16,0.04
6023-bus,-0.28,0.38,-1.34
5072-bus,0.14,-0.27,0.10
5932-bus,0.63,-0.16,-0.37
6602-bus,-0.41,-0.07,-0.34
6063-bus,0.61,-0.08,-0.38
10048-bus,-0.59,1.35,-1.89
6802-bus,0.69,-0.43,0.31
3607-bus,-0.52,0.15,-0.11
8621-bus,0.37,-0.37,0.55
12328-bus,0.46,-0.16,-0.15
6800-bus,-0.44,-0.19,0.22
10824-bus,-0.30,-0.28,0.61
5959-bus,-0.27,-0.36,0.52
5896-bus,-0.12,-0.13,0.12
5284-bus,-0.26,-0.17,-0.14
5977-bus,-0.10,-0.13,0.11
4722-bus,0.09,-0.06,-0.24
5902-bus,-0.15,-0.12,0.11
12266-bus,-1.08,-0.24,0.42
7484-bus,0.25,-0.29,0.37
5909-bus,-0.35,-0.32,0.43
7609-bus,0.36,-0.34,0.44
6009-bus,-0.17,-0.10,0.03
8243-bus,-0.64,-0.03,0.00
10797-bus,-0.30,-0.32,0.77
7972-bus,0.71,-0.09,-0.64
8583-bus,0.03,-0.27,0.18
5825-bus,-0.24,-0.08,0.01
7421-bus,0.13,-0.30,0.50
8634-bus,-0.05,-0.29,0.27
12357-bus,-0.96,-0.42,0.82
6345-bus,-0.75,-0.40,0.82
4721-bus,0.26,0.05,-0.74
4723-bus,0.52,-0.09,-0.46
4702-bus,0.04,0.02,-0.61
11531-bus,-0.93,-0.20,0.28
5621-bus,0.06,-0.16,0.30
6590-bus,-0.50,0.09,-0.60
4891-bus,-0.30,-0.22,0.34
11275-bus,-0.59,-0.28,0.41
5386-bus,0.92,0.22,-1.44
5317-bus,0.97,0.15,-1.32
9327-bus,0.49,-0.16,-0.37
5443-bus,0.61,0.31,-1.59
6268-bus,-0.42,-0.36,0.56
4673-bus,-0.03,-0.04,-0.52
9222-bus,0.16,-0.20,-0.08
6202-bus,-0.40,-0.32,0.43
12318-bus,0.48,-0.07,-0.27
11613-bus,0.87,0.11,-1.27
7274-bus,-0.02,-0.29,0.25
6185-bus,-0.04,-0.17,0.24
6645-bus,0.88,-0.45,0.29
7321-bus,0.14,-0.29,0.21
6676-bus,0.84,-0.45,0.30
4627-bus,-0.55,-0.25,0.14
4630-bus,-0.89,-0.30,0.42
11589-bus,-0.49,0.20,-0.20
4631-bus,-1.30,-0.36,0.75
3539-bus,-0.37,-0.13,-0.07
8701-bus,-0.33,-0.19,0.01
4643-bus,0.13,-0.14,-0.41
11999-bus,0.00,-0.23,0.07
4481-bus,0.66,0.12,-0.54
4624-bus,-0.19,-0.21,-0.13
4469-bus,0.36,0.07,-0.31
6760-bus,0.78,-0.45,0.33
6100-bus,-0.07,0.03,-0.42
5383-bus,-0.06,0.05,-0.69
4457-bus,0.02,0.00,-0.06
4748-bus,-0.34,-0.27,0.32
7290-bus,-0.71,-0.32,0.46
6717-bus,0.75,-0.47,0.39
4610-bus,0.09,-0.26,-0.08
4636-bus,-0.87,-0.39,0.67
10581-bus,-0.62,-0.17,0.25
5449-bus,1.02,0.29,-1.67
9159-bus,0.15,-0.05,-0.06
11598-bus,0.95,0.11,-1.30
5747-bus,-0.25,0.04,-0.41
9639-bus,-1.09,-0.08,0.33
9174-bus,-0.32,-0.20,0.02
6525-bus,0.04,-0.42,0.55
12314-bus,0.53,0.16,-0.61
6391-bus,-0.58,0.31,-1.27
11813-bus,-0.83,-0.31,0.63
6138-bus,0.11,-0.25,0.04
4526-bus,1.07,0.17,-0.87
8667-bus,-0.33,-0.16,-0.07
4866-bus,0.33,-0.01,-0.63
6386-bus,-0.47,-0.73,2.03
6405-bus,0.24,0.15,-1.13
594-train,-0.88,0.00,-0.35
6088-bus,-0.38,-0.11,0.17
5851-bus,-0.28,-0.21,0.11
5237-bus,-0.53,-0.36,0.63
8946-bus,0.01,-0.27,0.12
6922-bus,-0.26,0.03,-0.74
6698-bus,-0.62,-0.02,-0.44
5062-bus,-0.97,-0.29,0.44
12746-bus,-0.51,-0.37,0.45
4924-bus,0.66,-0.14,-0.35
4860-bus,0.74,0.01,-0.80
9362-bus,0.61,-0.19,-0.27
6855-bus,-0.19,-0.17,-0.21
4496-bus,0.54,0.16,-0.61
11562-bus,-0.28,0.23,-0.38
11276-bus,0.36,-0.28,0.03
5414-bus,0.70,0.06,-0.85
11897-bus,-0.02,-0.27,0.19
5167-bus,-1.18,-0.52,1.27
8403-bus,-0.70,-0.17,0.15
8030-bus,-0.03,0.08,-1.03
8736-bus,-0.54,-0.21,0.16
12045-bus,-0.53,-0.01,-0.48
11285-bus,-0.17,-0.25,0.15
9157-bus,0.53,-0.25,-0.04
5928-bus,-0.25,-0.37,0.88
7171-bus,0.47,-0.34,0.53
9134-bus,0.54,-0.13,-0.45
597-train,0.72,0.27,-1.05
6578-bus,-0.14,-0.03,-0.38
5330-bus,0.18,0.41,-1.48
8086-bus,-0.06,0.01,-0.71
9225-bus,0.16,-0.21,-0.07
2960-bus,-0.90,0.54,-1.51
7149-bus,-1.61,-0.68,1.99
11459-bus,1.09,-0.73,2.86
3532-bus,-0.01,-0.10,-0.34
10148-bus,0.60,-0.08,-0.38
5608-bus,0.12,-0.13,0.20
6873-bus,-0.04,-0.21,-0.02
11493-bus,0.13,0.50,-1.33
6426-bus,-0.76,0.36,-1.32
6388-bus,0.19,0.07,-0.86
4659-bus,0.32,0.04,-0.54
7696-bus,0.25,-0.37,0.54
10420-bus,0.00,-0.12,-0.18
6702-bus,0.93,-0.46,0.37
5231-bus,-0.36,-0.39,0.66
4680-bus,0.59,0.06,-0.62
10306-bus,-0.33,-0.03,0.12
5263-bus,-0.41,0.03,-0.12
11246-bus,0.87,-0.17,-0.12
6250-bus,-0.28,-0.19,0.28
6942-bus,0.71,-0.04,-0.61
3856-bus,-0.48,-0.05,-0.03
6153-bus,-0.36,-0.06,0.02
3828-bus,-0.45,-0.06,0.00
11554-bus,-1.00,0.53,-1.46
11580-bus,-1.00,0.53,-1.46
3870-bus,-0.48,-0.03,-0.09
9240-bus,-0.29,-0.20,0.05
3840-bus,-0.49,-0.07,0.06
10685-bus,0.13,-0.09,-0.12
6154-bus,-0.14,-0.30,0.38
3806-bus,-0.67,-0.03,-0.01
7582-bus,-0.48,-0.06,0.18
7711-bus,0.12,-0.32,0.46
6283-bus,-0.29,-0.19,0.28
5974-bus,1.19,0.01,-0.85
3655-bus,-0.47,-0.16,0.08
6318-bus,-0.31,-0.19,0.30
6369-bus,-0.38,-0.20,0.35
6627-bus,0.94,-0.44,0.30
7265-bus,0.15,-0.30,0.18
7370-bus,-0.30,-0.40,0.85
5898-bus,0.38,-0.16,-0.35
6119-bus,-0.09,-0.23,0.30
11550-bus,0.63,0.40,-1.29
4872-bus,0.28,-0.07,-0.54
6888-bus,0.92,-0.30,-0.08
2888-bus,0.65,-0.41,0.67
6430-bus,-0.39,-0.21,0.33
6389-bus,-0.11,-0.07,-0.22
6940-bus,0.95,-0.29,-0.12
7451-bus,0.00,-0.27,0.47
6781-bus,0.76,-0.38,0.20
9894-bus,0.11,-0.11,-0.07
5227-bus,-0.56,-0.10,0.34
6295-bus,-0.23,-0.01,-0.44
5126-bus,0.20,0.26,-1.07
5801-bus,1.03,0.03,-1.07
6478-bus,0.67,-0.18,-0.30
6271-bus,-0.20,0.07,-0.53
5878-bus,0.92,-0.20,-0.34
10725-bus,-0.25,-0.26,0.60
11440-bus,-0.96,0.53,-1.47
4857-bus,0.07,-0.03,-0.49
9062-bus,-0.25,-0.22,0.13
6334-bus,-0.72,0.04,-0.41
11756-bus,0.15,-0.04,-0.05
10585-bus,-1.56,-0.29,0.79
12673-bus,1.37,-0.24,-0.53
12389-bus,0.79,0.00,-0.95
12425-bus,0.77,0.02,-1.01
12469-bus,0.80,0.00,-0.98
12358-bus,0.95,-0.04,-0.88
10520-bus,-1.71,-0.18,0.80
6212-bus,-0.18,-0.31,0.65
9544-bus,-0.16,-0.15,0.32
4854-bus,-0.06,0.01,-0.46
9182-bus,0.05,-0.19,0.22
7707-bus,0.22,-0.23,-0.12
10577-bus,-1.37,-0.23,0.54
4926-bus,-0.25,-0.15,-0.09
7517-bus,-0.29,-0.33,0.66
5605-bus,-0.15,0.20,-0.66
6593-bus,0.27,0.16,-1.33
6226-bus,-0.72,0.00,-0.03
6532-bus,0.97,-0.37,0.01
6551-bus,0.19,0.12,-1.19
5849-bus,0.98,-0.08,-0.75
9970-bus,-0.10,0.22,-1.01
10032-bus,-0.25,0.15,-0.72
10081-bus,0.03,0.10,-0.69
10131-bus,0.29,0.04,-0.62
9928-bus,-0.13,0.34,-1.36
6024-bus,0.14,-0.35,0.29
9963-bus,-0.11,0.30,-1.28
7412-bus,0.07,-0.29,0.50
5218-bus,-1.34,-0.26,0.81
3849-bus,0.10,0.16,-0.28
11048-bus,-1.23,-0.07,-0.01
10681-bus,0.04,-0.11,-0.06
5576-bus,0.10,0.20,-0.76
9883-bus,-0.04,0.38,-1.52
11107-bus,-1.15,-0.09,-0.04
6084-bus,-0.34,-0.37,0.56
10546-bus,-1.60,-0.29,0.83
5895-bus,-0.02,-0.22,0.21
4895-bus,-0.14,-0.40,0.50
10702-bus,0.22,-0.03,-0.35
4929-bus,0.08,0.06,-0.81
4935-bus,-0.14,-0.13,-0.17
3670-bus,-0.07,-0.14,-0.13
5611-bus,-0.53,0.26,-0.98
6877-bus,0.76,-0.44,0.32
8993-bus,-0.85,-0.27,0.50
10090-bus,0.74,0.13,-0.47
8319-bus,0.49,-0.41,0.60
9014-bus,0.10,-0.25,0.06
8670-bus,0.38,0.03,-0.76
10574-bus,-1.08,-0.22,0.40
5618-bus,-0.54,0.26,-0.98
7143-bus,-0.59,-0.27,0.63
9873-bus,0.13,0.24,-1.16
7932-bus,-0.34,0.26,-0.21
5798-bus,-0.21,-0.11,-0.16
11074-bus,-1.37,0.14,-0.59
6506-bus,0.07,-0.09,-0.53
4730-bus,-0.28,-0.26,0.28
8949-bus,0.89,-0.24,-0.06
11218-bus,0.28,-0.42,0.83
8035-bus,0.00,0.07,-0.80
11060-bus,-1.51,-0.04,0.00
4735-bus,-0.49,-0.28,0.38
11336-bus,-0.80,0.01,0.19
11105-bus,-1.09,-0.02,-0.29
4641-bus,0.92,0.18,-0.99
6554-bus,-0.01,-0.31,0.23
8038-bus,0.71,-0.10,-0.63
11350-bus,-1.40,0.02,0.32
8307-bus,0.50,-0.39,0.53
11344-bus,-1.42,-0.01,0.44
5963-bus,0.09,-0.34,0.28
6540-bus,0.96,-0.44,0.22
4947-bus,0.09,0.12,-1.00
11128-bus,-0.92,-0.11,-0.08
4901-bus,-0.65,0.16,-0.39
11071-bus,-1.39,0.08,-0.41
11339-bus,-1.42,0.02,0.31
8937-bus,0.57,-0.20,0.09
4883-bus,-0.67,0.15,-0.38
4745-bus,-0.19,-0.29,0.32
8541-bus,0.22,0.25,-0.70
9013-bus,0.54,-0.13,-0.09
5099-bus,0.29,0.32,-1.28
7227-bus,-1.06,0.31,-1.03
6851-bus,0.15,-0.33,0.31
11436-bus,-0.92,0.54,-1.50
8932-bus,0.48,-0.25,0.15
11206-bus,-0.80,-0.07,-0.22
6118-bus,0.64,0.00,-0.77
9440-bus,0.28,-0.25,0.19
5224-bus,-0.62,-0.10,0.36
4544-bus,0.95,0.24,-1.01
6304-bus,0.25,-0.24,0.06
6026-bus,-0.21,-0.34,0.43
10122-bus,0.63,-0.21,-0.07
7500-bus,0.32,-0.31,0.42
7130-bus,-0.29,-0.25,0.18
6923-bus,0.17,-0.39,0.57
11768-bus,0.45,-1.13,4.45
11687-bus,0.65,-1.13,4.37
8020-bus,-0.14,-0.14,0.18
6355-bus,-0.02,-0.30,0.32
5296-bus,0.04,0.16,-0.67
9880-bus,0.25,0.01,-0.51
5904-bus,0.14,-0.25,0.01
6791-bus,0.23,-0.22,-0.15
7224-bus,-0.47,-0.28,0.64
5654-bus,-0.62,0.12,-0.60
6457-bus,-0.03,-0.49,0.77
4968-bus,0.09,-0.16,-0.17
8130-bus,0.33,-0.45,0.55
5768-bus,-0.85,-0.07,-0.03
6473-bus,-0.03,-0.18,-0.22
5652-bus,-0.17,-0.32,0.21
4820-bus,-0.48,-0.50,0.89
5599-bus,-0.60,0.24,-0.93
5934-bus,0.19,-0.30,0.14
4846-bus,-0.43,-0.49,0.83
6968-bus,-0.03,-0.31,0.42
9267-bus,-0.50,-0.19,0.12
5620-bus,-0.58,0.16,-0.70
4677-bus,2.26,0.49,-2.28
9823-bus,0.25,-0.06,-0.31
11273-bus,-1.48,0.09,-0.46
6132-bus,0.19,-0.48,0.67
6397-bus,-0.35,-0.39,0.64
6725-bus,-0.36,-0.20,0.00
6533-bus,-0.58,-0.42,0.82
5883-bus,-0.13,-0.27,0.20
11622-bus,0.22,0.11,-0.99
8205-bus,0.44,-0.38,0.37
10384-bus,-0.21,-0.19,0.07
5831-bus,-0.46,-0.48,0.95
5200-bus,-0.78,-0.02,0.18
11403-bus,-1.88,-0.15,1.09
6950-bus,-0.54,0.00,-0.41
9861-bus,0.34,0.06,-0.71
5996-bus,0.26,-0.32,0.18
6437-bus,0.03,-0.22,-0.11
5899-bus,0.03,-0.31,0.23
8554-bus,0.30,0.25,-0.71
4724-bus,-0.54,-0.32,0.49
6117-bus,0.18,-0.49,0.72
4147-bus,-1.07,-0.04,-0.22
10005-bus,-0.03,0.04,-0.37
7182-bus,-0.53,-0.39,0.58
4744-bus,-0.24,-0.30,0.38
9814-bus,0.55,-0.22,0.05
11140-bus,-0.09,-0.14,-0.27
6160-bus,-0.07,0.11,-0.72
6929-bus,-0.15,-0.46,0.98
6583-bus,-0.12,0.17,-0.46
9837-bus,0.54,-0.28,0.25
6256-bus,-0.71,0.09,-0.33
4207-bus,0.14,0.00,-0.80
9764-bus,0.76,-0.44,0.63
6190-bus,0.20,-0.49,0.71
7362-bus,-0.59,-0.18,0.09
6342-bus,0.45,-0.20,-0.20
10768-bus,-0.30,0.11,-0.56
4183-bus,-0.41,0.03,-0.68
3699-bus,1.12,0.02,-1.08
3-bus,-1.32,0.36,-1.26
4620-bus,2.26,0.40,-1.99
7893-bus,0.14,-0.29,0.30
10065-bus,0.89,-0.40,0.47
8346-bus,0.39,-0.27,0.04
8407-bus,0.44,0.08,-0.81
6207-bus,0.15,-0.50,0.75
10564-bus,-1.16,-0.12,0.22
9051-bus,-0.18,-0.17,0.32
6480-bus,0.25,-0.37,0.36
2920-bus,0.46,0.28,-0.68
8389-bus,0.14,0.08,-0.53
5737-bus,1.02,0.02,-0.97
10807-bus,-0.47,0.46,-1.60
11360-bus,-0.75,-0.11,0.01
