                Factor1       Factor2       Factor3
5582-bus  -8.883606e-01 -2.000986e-01  0.0645043150
4918-bus  -6.717559e-01  4.823255e-02 -0.7646955408
5593-bus  -9.413692e-01 -2.681985e-01  0.2875361701
12249-bus -1.912895e+00  2.847640e-01 -0.9329959327
10307-bus -6.866717e-01  2.895155e-01 -1.4586424881
6547-bus  -1.148363e+00 -5.564291e-01  1.3653072995
12255-bus -1.813613e+00  2.586393e-01 -0.8864101541
3415-bus  -6.503223e-01  7.558416e-02 -0.8491625110
12259-bus -1.262594e+00  2.591151e-01 -1.1156864045
12773-bus -1.510445e+00 -1.424794e-01  0.1382858266
10588-bus -4.526980e-01 -1.183285e-01  0.1433978535
10603-bus -4.705428e-01 -1.169471e-01  0.1448065734
10622-bus -2.219021e-01 -1.183000e-01  0.0666662045
10538-bus  2.435805e-01 -1.039903e-01 -0.1439143015
10456-bus  2.382014e-01 -7.357739e-02 -0.2804213682
10550-bus  1.974322e-01 -8.512970e-02 -0.1875661388
10541-bus  2.370344e-01 -8.867098e-02 -0.1884130521
10453-bus  6.391931e-02 -8.140791e-02 -0.1842315993
10414-bus  1.086371e-01 -1.333762e-01 -0.1732343601
10523-bus  3.390088e-01 -6.389816e-02 -0.2954062482
10435-bus  1.591981e-01 -1.012431e-01 -0.2343304754
10421-bus  1.889296e-01 -1.105655e-01 -0.2408507610
10532-bus  2.189988e-01 -8.532384e-02 -0.1928101676
10436-bus  1.741144e-01 -1.053343e-01 -0.2411498654
10450-bus  1.046324e-01 -8.734815e-02 -0.1922900054
10502-bus  2.190911e-01 -1.761027e-03 -0.4508445479
10661-bus -3.271536e-01 -1.334378e-01  0.1734995698
10492-bus  2.161159e-01  1.073186e-02 -0.4913884777
10457-bus -8.029160e-02 -9.253524e-02 -0.1406975830
10534-bus  5.935941e-01 -7.470403e-02 -0.3674166477
10517-bus -5.675549e-02 -7.147944e-02 -0.1192112019
10467-bus -1.183093e-01  3.571219e-02 -0.4600430618
10270-bus -1.940810e-01 -9.701062e-02 -0.2702828953
10451-bus  4.246053e-01  9.790399e-03 -0.6686874981
10417-bus  7.095493e-01 -7.331302e-02 -0.5744846654
10682-bus -6.325782e-01 -1.379119e-01  0.3095409179
10372-bus  3.122005e-01 -1.287268e-01 -0.2126249063
10361-bus  2.406396e-01 -1.781938e-01 -0.0363071209
10340-bus  1.533671e-01 -1.641192e-01 -0.0424264665
10441-bus  5.965645e-01 -6.904026e-02 -0.5397243656
10487-bus  2.683307e-02  3.577668e-02 -0.4701528464
10298-bus  1.398545e-01 -1.259103e-01 -0.2265922710
10507-bus  3.992155e-01  2.640941e-02 -0.5841172639
10316-bus -3.464112e-02 -1.253103e-01 -0.0383088741
13-bus    -4.132210e-01  5.637552e-02 -0.3668863076
10484-bus  9.541854e-02  1.031832e-01 -0.6977611214
10775-bus  4.071904e-01  2.316079e-01 -1.2084206232
15-bus    -9.816859e-01  7.672892e-02 -0.1956411372
14-bus    -2.224111e-01  2.238745e-01 -0.9388945883
10609-bus -1.245290e+00  2.100270e-01 -0.9846833889
10483-bus -1.348733e+00  2.112615e-01 -0.9519006577
3401-bus  -6.949062e-01  3.144748e-02 -0.7013189125
6487-bus  -1.472396e+00  2.684044e-01 -1.0637791600
8232-bus  -1.441727e+00  7.803424e-02 -0.5450986442
8930-bus  -1.404012e+00 -2.040485e-01  0.2788085387
8534-bus  -1.586301e+00 -1.150606e-01  0.0865609359
10303-bus -6.473778e-01  2.679573e-01 -1.4056400544
12277-bus -8.452250e-01  1.976130e-01 -1.1171627832
10645-bus -6.693172e-01  2.282850e-01 -1.2768903423
4199-bus  -5.111079e-01 -4.885022e-02 -0.5294379791
4190-bus  -4.266609e-01 -4.760091e-03 -0.6889013980
8366-bus  -1.508211e+00  2.395415e-01 -0.9891192932
4151-bus  -6.377397e-01 -2.163888e-01  0.0215694613
7174-bus  -8.007181e-01  9.406116e-02 -0.8285911811
4206-bus  -3.453196e-01  3.656381e-02 -0.8389519816
4136-bus  -6.238413e-01 -1.030700e-01 -0.3284568585
6642-bus  -1.117627e+00 -5.386177e-01  1.2892023533
4187-bus  -1.129426e+00 -1.537201e-01  0.0375057994
4155-bus  -6.657303e-01 -2.251947e-01  0.0564062869
4077-bus  -1.712564e+00 -1.293353e-02 -0.1523505855
10669-bus -6.782678e-01  2.369471e-01 -1.3003090446
4073-bus  -1.694560e+00  5.511475e-02 -0.3658351161
4160-bus  -7.316294e-01 -2.169783e-01  0.0514441983
10607-bus -9.458296e-01  2.249417e-01 -1.1510755814
8825-bus  -1.387131e+00 -2.068454e-01  0.2795925702
6692-bus  -1.252694e+00  3.001289e-01 -1.2374364118
2901-bus  -1.748774e+00  2.306619e-01 -0.8117469966
4071-bus  -1.825743e+00  1.267527e-01 -0.5165431558
10613-bus -8.999439e-01  2.490719e-01 -1.2408021505
2922-bus  -1.983918e+00  2.547012e-01 -0.7877438631
8894-bus  -1.298377e+00 -1.965502e-01  0.2213581075
6549-bus  -1.516671e+00  2.226429e-01 -0.9112624671
4038-bus  -1.804066e+00  1.508380e-01 -0.5955513980
3995-bus  -9.035913e-01 -8.090495e-02 -0.2656779488
3362-bus  -1.935725e+00 -3.707884e-02  0.0088102052
4020-bus  -1.799606e+00  1.421783e-01 -0.5699310618
8666-bus  -1.391480e+00 -1.700060e-01  0.1684708594
4247-bus  -1.398614e-01  1.894476e-01 -1.3900250372
4005-bus  -1.822716e+00  1.420621e-01 -0.5617125044
4132-bus  -1.538571e+00  2.372476e-01 -0.9378544133
3999-bus  -1.011033e+00 -2.276915e-01  0.2294412368
5830-bus  -8.915259e-01  6.584820e-02 -0.7388057139
2916-bus  -1.988748e+00  2.513886e-01 -0.7751123324
10837-bus -1.207814e+00  2.283876e-01 -1.0482876319
4263-bus  -1.030890e+00  2.119347e-01 -1.0915455591
12230-bus -9.189545e-01  2.955180e-01 -1.3845617080
7180-bus  -5.473939e-01 -4.361206e-01  0.6952910240
10567-bus  1.316635e-01  2.888093e-01 -1.7718302586
5677-bus  -6.845338e-01 -1.089910e-01 -0.3019860039
10573-bus -1.415579e+00  2.260576e-01 -0.9513204640
4001-bus  -5.961688e-01 -1.357891e-01 -0.2175087615
2904-bus  -1.719705e+00  2.382871e-01 -0.8444516120
